,Nation,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2010,2011,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
0,Denmark,90.0,88.0,88.0,87.0,88.0,88.0,90.0,91.0,92.0,91.0,90.0,93.0,94.0,93.0,93.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,98.0,100.0,100.0,99.39999999999999,93.3,93.2
1,New Zealand,87.0,88.0,88.0,87.0,87.0,89.0,90.0,91.0,91.0,91.0,90.0,93.0,95.0,94.0,93.0,94.0,96.0,96.0,96.0,95.0,95.0,94.0,94.0,94.0,94.0,92.30000000000001,94.3,95.5
2,Finland,87.0,88.0,85.0,86.0,85.0,85.0,89.0,90.0,89.0,89.0,90.0,92.0,94.0,89.0,90.0,94.0,96.0,96.0,97.0,97.0,97.0,99.0,100.0,94.0,96.0,94.80000000000001,90.5,91.19999999999999
3,Norway,84.0,85.0,84.0,84.0,84.0,85.0,85.0,87.0,86.0,86.0,85.0,86.0,90.0,86.0,79.0,87.0,88.0,89.0,89.0,88.0,85.0,86.0,91.0,89.0,90.0,89.2,88.69999999999999,86.1
4,Singapore,83.0,85.0,85.0,85.0,85.0,84.0,84.0,85.0,84.0,86.0,87.0,93.0,92.0,92.0,92.0,93.0,94.0,94.0,93.0,94.0,93.0,92.0,91.0,91.0,91.0,86.6,88.0,92.6
5,Sweden,83.0,85.0,85.0,85.0,85.0,84.0,88.0,89.0,87.0,89.0,88.0,92.0,93.0,92.0,93.0,93.0,92.0,92.0,92.0,93.0,93.0,90.0,94.0,94.0,95.0,93.5,90.8,88.69999999999999
6,Switzerland,82.0,84.0,85.0,85.0,85.0,85.0,86.0,86.0,86.0,85.0,86.0,87.0,88.0,90.0,90.0,90.0,91.0,91.0,91.0,88.0,85.0,84.0,86.0,89.0,89.0,86.1,87.6,87.6
7,Netherlands,80.0,82.0,82.0,82.0,82.0,82.0,83.0,87.0,83.0,83.0,84.0,88.0,89.0,89.0,89.0,90.0,87.0,86.0,87.0,89.0,90.0,88.0,89.0,90.0,90.0,90.3,87.10000000000001,86.89999999999999
8,Germany,79.0,80.0,80.0,80.0,80.0,81.0,81.0,81.0,79.0,78.0,79.0,79.0,80.0,80.0,79.0,78.0,80.0,82.0,82.0,77.0,73.0,74.0,76.0,80.0,79.0,82.30000000000001,82.69999999999999,81.4
9,Luxembourg,77.0,81.0,80.0,80.0,81.0,82.0,81.0,81.0,82.0,80.0,80.0,85.0,85.0,82.0,83.0,84.0,86.0,85.0,84.0,87.0,90.0,87.0,86.0,88.0,87.0,86.1,86.1,86.1
10,Ireland,77.0,74.0,72.0,74.0,73.0,74.0,73.0,75.0,74.0,72.0,69.0,80.0,75.0,80.0,77.0,75.0,74.0,74.0,75.0,75.0,69.0,75.0,72.0,77.0,82.0,82.8,84.5,84.5
11,Hong Kong,76.0,76.0,77.0,76.0,76.0,77.0,77.0,75.0,74.0,75.0,77.0,84.0,84.0,82.0,81.0,83.0,83.0,83.0,80.0,80.0,82.0,79.0,77.0,77.0,78.0,72.8,70.1,71.2
12,Australia,75.0,73.0,77.0,77.0,77.0,77.0,79.0,79.0,80.0,81.0,85.0,87.0,88.0,87.0,87.0,86.0,87.0,88.0,88.0,88.0,86.0,85.0,83.0,87.0,87.0,88.6,86.0,88.0
13,Iceland,74.0,74.0,75.0,78.0,76.0,77.0,78.0,79.0,79.0,78.0,82.0,85.0,83.0,87.0,89.0,92.0,96.0,97.0,95.0,96.0,94.0,92.0,91.0,92.0,93.0,93.0,93.0,93.0
14,Estonia,74.0,74.0,75.0,74.0,73.0,71.0,70.0,70.0,69.0,68.0,64.0,65.0,64.0,66.0,66.0,65.0,67.0,64.0,60.0,55.0,56.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0
15,Uruguay,74.0,73.0,71.0,71.0,70.0,70.0,71.0,74.0,73.0,73.0,72.0,69.0,70.0,67.0,69.0,67.0,64.0,59.0,62.0,55.0,51.0,51.0,44.0,44.0,43.0,41.4,41.4,41.4
16,Canada,74.0,75.0,77.0,77.0,81.0,82.0,82.0,83.0,81.0,81.0,84.0,89.0,87.0,87.0,87.0,87.0,85.0,84.0,85.0,87.0,90.0,89.0,92.0,92.0,92.0,91.0,89.60000000000001,88.69999999999999
17,Japan,73.0,73.0,74.0,73.0,73.0,73.0,72.0,75.0,76.0,74.0,74.0,78.0,80.0,77.0,73.0,75.0,76.0,73.0,69.0,70.0,71.0,71.0,64.0,60.0,58.0,65.7,70.5,67.2
18,United Kingdom,73.0,78.0,77.0,77.0,80.0,82.0,81.0,81.0,78.0,76.0,74.0,76.0,78.0,77.0,77.0,84.0,86.0,86.0,86.0,87.0,87.0,83.0,87.0,86.0,87.0,82.2,84.39999999999999,85.7
19,Belgium,73.0,73.0,76.0,75.0,75.0,75.0,77.0,77.0,76.0,75.0,75.0,71.0,75.0,71.0,73.0,71.0,73.0,74.0,75.0,76.0,71.0,66.0,61.0,53.0,54.0,52.5,68.4,68.5
20,France,72.0,71.0,69.0,69.0,72.0,70.0,69.0,70.0,69.0,71.0,71.0,68.0,70.0,69.0,69.0,73.0,74.0,75.0,71.0,69.0,63.0,67.0,67.0,66.0,67.0,66.6,69.6,70.0
21,Austria,71.0,74.0,76.0,77.0,76.0,75.0,75.0,76.0,72.0,69.0,69.0,79.0,78.0,79.0,81.0,81.0,86.0,87.0,84.0,80.0,78.0,78.0,77.0,76.0,75.0,76.10000000000001,75.9,71.3
